schemaVersion,reportVersion,reviewStatus,catalogSchemaVersion,catalogContentVersion,catalogLocale,catalogSourceSha256,audioSchemaVersion,audioVersion,audioContentVersion,audioLocale,audioCatalogSourceSha256,audioSourceSha256,audioProvider,audioProviderRevision,audioGeneratorRevision,audioGeneratedAt,generatedAt,toolRevision,engineRevision,threshold,summaryCount,summaryMin,summaryP50,summaryP75,summaryP90,summaryP95,summaryMax,summaryPassCount,summaryFailCount,summaryUnavailable,summaryUnrateable,challengeId,audioSha256,accuracyScore,status,reasonCode,audioDurationMs,audioByteCount
echo-forge-listening-audio-semantic-qa-v1,v1,automated_only,echo-forge-challenge-catalog-v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,echo-forge-audio-manifest-v1,v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,kokoro,kokoro-v1,echo-forge-listening-audio-v1,2026-08-25T06:58:59.213Z,2026-08-25T07:08:09.726Z,echo-forge-listening-audio-semantic-qa-v1,azure-speech-pronunciation-assessment-comprehensive-word-v1,80,30,86,99,100,100,100,100,30,0,0,0,ef-a2-listening-005,bc8dad4630198885bf4472e1071a234fd6ee80ea240d0a6b481d1dc542aa3caa,100,scored,,871.2916666666667,41900
echo-forge-listening-audio-semantic-qa-v1,v1,automated_only,echo-forge-challenge-catalog-v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,echo-forge-audio-manifest-v1,v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,kokoro,kokoro-v1,echo-forge-listening-audio-v1,2026-08-25T06:58:59.213Z,2026-08-25T07:08:09.726Z,echo-forge-listening-audio-semantic-qa-v1,azure-speech-pronunciation-assessment-comprehensive-word-v1,80,30,86,99,100,100,100,100,30,0,0,0,ef-a2-listening-006,bb94af3411786070050dde8b23a9f022df00e12558867c7e870ecc20c486d6e1,99,scored,,881.125,42372
echo-forge-listening-audio-semantic-qa-v1,v1,automated_only,echo-forge-challenge-catalog-v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,echo-forge-audio-manifest-v1,v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,kokoro,kokoro-v1,echo-forge-listening-audio-v1,2026-08-25T06:58:59.213Z,2026-08-25T07:08:09.726Z,echo-forge-listening-audio-semantic-qa-v1,azure-speech-pronunciation-assessment-comprehensive-word-v1,80,30,86,99,100,100,100,100,30,0,0,0,ef-b1-listening-001,141b43f9dbbb5d8825cf1badb4f467a8c5f7d048d62202a46a8147dc7aef18df,95,scored,,910.1666666666666,43766
echo-forge-listening-audio-semantic-qa-v1,v1,automated_only,echo-forge-challenge-catalog-v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,echo-forge-audio-manifest-v1,v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,kokoro,kokoro-v1,echo-forge-listening-audio-v1,2026-08-25T06:58:59.213Z,2026-08-25T07:08:09.726Z,echo-forge-listening-audio-semantic-qa-v1,azure-speech-pronunciation-assessment-comprehensive-word-v1,80,30,86,99,100,100,100,100,30,0,0,0,ef-b1-listening-002,1bcaf52064dcf132beefda5e2d967e991e89dfc36210af37c02d543420ba475f,100,scored,,976.3333333333334,46942
echo-forge-listening-audio-semantic-qa-v1,v1,automated_only,echo-forge-challenge-catalog-v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,echo-forge-audio-manifest-v1,v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,kokoro,kokoro-v1,echo-forge-listening-audio-v1,2026-08-25T06:58:59.213Z,2026-08-25T07:08:09.726Z,echo-forge-listening-audio-semantic-qa-v1,azure-speech-pronunciation-assessment-comprehensive-word-v1,80,30,86,99,100,100,100,100,30,0,0,0,ef-b1-listening-003,13885b775ed4ed2f6bda4aae8f41169448ea27d877f581888c2124be0c9c9530,100,scored,,959.5416666666666,46136
echo-forge-listening-audio-semantic-qa-v1,v1,automated_only,echo-forge-challenge-catalog-v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,echo-forge-audio-manifest-v1,v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,kokoro,kokoro-v1,echo-forge-listening-audio-v1,2026-08-25T06:58:59.213Z,2026-08-25T07:08:09.726Z,echo-forge-listening-audio-semantic-qa-v1,azure-speech-pronunciation-assessment-comprehensive-word-v1,80,30,86,99,100,100,100,100,30,0,0,0,ef-b1-listening-004,a793c04753dd84d7e3e0845f88abbf05a7efd80aaee8139d8f25f871c1ff9952,93,scored,,944.625,45420
echo-forge-listening-audio-semantic-qa-v1,v1,automated_only,echo-forge-challenge-catalog-v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,echo-forge-audio-manifest-v1,v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,kokoro,kokoro-v1,echo-forge-listening-audio-v1,2026-08-25T06:58:59.213Z,2026-08-25T07:08:09.726Z,echo-forge-listening-audio-semantic-qa-v1,azure-speech-pronunciation-assessment-comprehensive-word-v1,80,30,86,99,100,100,100,100,30,0,0,0,ef-b1-listening-005,bd8872486134c6c036a2d1faec9360428ce04fdbb08a605b109beeeabb341fc0,92,scored,,840.875,40440
echo-forge-listening-audio-semantic-qa-v1,v1,automated_only,echo-forge-challenge-catalog-v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,echo-forge-audio-manifest-v1,v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,kokoro,kokoro-v1,echo-forge-listening-audio-v1,2026-08-25T06:58:59.213Z,2026-08-25T07:08:09.726Z,echo-forge-listening-audio-semantic-qa-v1,azure-speech-pronunciation-assessment-comprehensive-word-v1,80,30,86,99,100,100,100,100,30,0,0,0,ef-b1-listening-006,6367731612aac5da284cffc8b4dd9ec1dcadfbc3c681c059380cd4b3653ff9e8,100,scored,,888.4583333333334,42724
echo-forge-listening-audio-semantic-qa-v1,v1,automated_only,echo-forge-challenge-catalog-v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,echo-forge-audio-manifest-v1,v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,kokoro,kokoro-v1,echo-forge-listening-audio-v1,2026-08-25T06:58:59.213Z,2026-08-25T07:08:09.726Z,echo-forge-listening-audio-semantic-qa-v1,azure-speech-pronunciation-assessment-comprehensive-word-v1,80,30,86,99,100,100,100,100,30,0,0,0,ef-b2-listening-001,92f8eaa670fa89da473ab0ab8cec0435f25c34b553083c34006d542379f9c220,99,scored,,980.7916666666666,47156
echo-forge-listening-audio-semantic-qa-v1,v1,automated_only,echo-forge-challenge-catalog-v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,echo-forge-audio-manifest-v1,v1,2026.08.25.v2,en-US,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,0191870edd334cb5bcad8516ec89e7a0e251499de433f2c37c49b1d3d038bcb0,kokoro,kokoro-v1,echo-forge-listening-audio-v1,2026-08-25T06:58:59.213Z,2026-08-25T07:08:09.726Z,echo-forge-listening-audio-semantic-qa-v1,azure-speech-pronunciation-assessment-comprehensive-word-v1,80,30,86,99,100,100,100,100,30,0,0,0,ef-b2-listening-002,a7cdddf82bb75d3adc4b19191e706db8664c83e15722d3efa9b20f033ab4e940,100,scored,,1035.7083333333333,49792
