"word","form","level"
"appearance","n.","A2"
"appealing","adj.","C1"
"appetite","n.","C1"
"apple","n.","A1"
"applicable","adj.","C1"
"applicant","n.","B2"
"application","n.","B1"
"apply","v.","A2"
"appoint","v.","C1"
"appointment","n.","B1"
"appreciate","v.","B1"
"appreciation","n.","C1"
"approach","n.","B2"
"approach","v.","B2"
"appropriate","adj.","B2"
"appropriately","adv.","B2"
"approval","n.","B2"
"approve","v.","B2"
"approximately","adv.","B1"
"April","n.","A1"
"arbitrary","adj.","C1"
"architect","n.","A2"
"architecture","n.","A2"
"architectural","adj.","C1"
"archive","n.","C1"
"area","n.","A1"
"arena","n.","C1"
"argue","v.","A2"
"arguably","adv.","C1"
"argument","n.","A2"
"arise","v.","B2"
"arm","n.","A1"
"arm","v.","C1"
"armed","adj.","B2"
"arms","n.","B2"
"army","n.","A2"
"around","adv.","A1"
"around","prep.","A1"
"arrange","v.","A2"
"arrangement","n.","A2"
"array","n.","C1"
"arrest","n.","B1"
"arrest","v.","B1"
"arrival","n.","B1"
"arrive","v.","A1"
"arrow","n.","B2"
"art","n.","A1"
"article","n.","A1"
"articulate","v.","C1"
"artificial","adj.","B2"
"artist","n.","A1"
"artistic","adj.","B2"
"artwork","n.","B2"
"as","adv.","A2"
"as","conj.","A2"
"as","prep.","A1"
"ash","n.","C1"
"ashamed","adj.","B2"
"aside","adv.","B2"
"ask","v.","A1"
"asleep","adj.","A2"
"aspect","n.","B2"
"aspiration","n.","C1"
"aspire","v.","C1"
"assassination","n.","C1"
"assault","n.","C1"
"assault","v.","C1"
"assemble","v.","C1"
"assembly","n.","C1"
"assess","v.","B2"
"assessment","n.","B2"
"asset","n.","B2"
"assign","v.","B2"
"assignment","n.","B1"
"assist","v.","B1"
"assistance","n.","B2"
"assistant","adj.","A2"
"assistant","n.","A2"
"associate","v.","B2"
"associated","adj.","B2"
"association","n.","B2"
"assume","v.","B2"
"assumption","n.","B2"
"assurance","n.","C1"
"assure","v.","B2"
"at","prep.","A1"
"athlete","n.","A2"
"atmosphere","n.","B1"
"attach","v.","B1"
"attachment","n.","B2"
"attack","n.","A2"
"attack","v.","A2"
"attain","v.","C1"
"attempt","n.","B2"
"attempt","v.","B2"
"attend","v.","A2"
"attendance","n.","C1"
"attention","exclam.","A2"
"attention","n.","A2"
"attitude","n.","B1"
"attorney","n.","C1"
"attract","v.","B1"
"attraction","n.","B1"
"attractive","adj.","A2"
"attribute","n.","C1"
"attribute","v.","C1"
"auction","n.","B2"
"audience","n.","A2"
"audio","adj.","B2"
"audit","n.","C1"
"August","n.","A1"
"aunt","n.","A1"
"authentic","adj.","C1"
"author","n.","A2"
"authority","n.","B1"
"authorize","v.","C1"
"auto","n.","C1"
"automatic","adj.","B2"
"automatically","adv.","B2"
"autumn","n.","A1"
"autonomy","n.","C1"
"available","adj.","A2"
"availability","n.","C1"
"average","adj.","A2"
"average","n.","A2"
"average","v.","B1"
"avoid","v.","A2"
"await","v.","C1"
"award","n.","A2"
"award","v.","B1"
"aware","adj.","B1"
"awareness","n.","B2"
"away","adv.","A1"
"awful","adj.","A2"
"awkward","adj.","B2"
"baby","n.","A1"
"back","adj.","A2"
"back","adv.","A1"
"back","n.","A1"
"back","v.","B2"
"backdrop","n.","C1"
"background","n.","A2"
"backing","n.","C1"
"backup","n.","C1"
"backwards","adv.","B1"
"bacteria","n.","B2"
"bad","adj.","A1"
"badge","n.","B2"
"badly","adv.","A2"
"bag","n.","A1"
"bail","n.","C1"
"bake","v.","B1"
"balance","n.","B1"
"balance","v.","B1"
"balanced","adj.","B2"
"ball","n.","A1"
"ballet","n.","B2"
"balloon","n.","B2"
"ballot","n.","C1"
"ban","n.","B1"
"ban","v.","B1"
"banana","n.","A1"
"band","n.","A1"
"banner","n.","C1"
"bar","n.","A2"
"bar","v.","B2"
"bare","adj.","C1"
"barely","adv.","B2"
"bargain","n.","B2"
"barrel","n.","C1"
"barrier","n.","B2"
"base","n.","B1"
"base","v.","B1"
"baseball","n.","A2"
"based","adj.","A2"
"basement","n.","B2"
"basic","adj.","B1"
"basically","adv.","B2"
"basis","n.","B1"
"basket","n.","B2"
"basketball","n.","A2"
"bass¹","n.","C1"
"bat","n.","B2"
"bat","v.","C1"
"bath","n.","A1"
"bathroom","n.","A1"
"battle","n.","B1"
"battle","v.","B2"
"battlefield","n.","C1"
"bay","n.","C1"
"be","auxiliary v.","A1"
"be","v.","A1"
"beach","n.","A1"
"beam","n.","C1"
"bean","n.","A2"
"bear (animal)","n.","A2"
"bear (deal with)","v.","B2"
"beast","n.","C1"
"beat","n.","B2"
"beat","v.","A2"
"beautiful","adj.","A1"
"beauty","n.","B1"
"because","conj.","A1"
"become","v.","A1"
"bed","n.","A1"
"bedroom","n.","A1"
"bee","n.","B1"
"beef","n.","A2"
"beer","n.","A1"
"before","adv.","A2"
"before","conj.","A2"
"before","prep.","A1"
"beg","v.","B2"
"begin","v.","A1"
"beginning","n.","A1"
"behalf","n.","C1"
"behave","v.","A2"
"behaviour","n.","A2"
"behind","adv.","A1"
"behind","prep.","A1"
"being","n.","B2"
"belief","n.","B1"
"believe","v.","A1"
"bell","n.","B1"
"belong","v.","A2"
"beloved","adj.","C1"
"below","adv.","A1"
"below","prep.","A1"
"belt","n.","A2"
"bench","n.","C1"
"benchmark","n.","C1"
"bend","n.","B1"
"bend","v.","B1"
"beneath","prep.","С1"
"beneficial","adj.","B2"
"beneficiary","n.","C1"
"benefit","n.","A2"
"benefit","v.","B1"
"bent","adj.","B2"
"beside","prep.","B2"
"besides","adv.","B2"
"besides","prep.","B2"
"best","adj.","A1"
"best","adv.","A2"
"best","n.","A2"
"bet","n.","B2"
"bet","v.","B2"
"betray","v.","C1"
"better","adj.","A1"
"better","adv.","A2"
"better","n.","B1"
"between","adv.","A2"
"between","prep.","A1"
"beyond","adv.","B2"
"beyond","prep.","B2"
"bias","n.","B2"
"bicycle","n.","A1"
"bid","n.","B2"
"bid","v.","B2"
"big","adj.","A1"
"bike","n.","A1"
"bill","n.","A1"
"bill","v.","B2"
"billion","number","A2"
"bin","n.","A2"
"bind","v.","C1"
"biography","n.","C1"
"biological","adj.","B2"
"biology","n.","A2"
"bird","n.","A1"
"birth","n.","A2"
"birthday","n.","A1"
"biscuit","n.","A2"
"bishop","n.","C1"
"bit","n.","A2"
"bite","n.","B1"
"bite","v.","B1"
"bitter","adj.","B2"
"bizarre","adj.","C1"
"black","adj.","A1"
"black","n.","A1"
"blade","n.","C1"
"blame","n.","B2"
"blame","v.","B2"
"blank","adj.","A2"
"blank","n.","A2"
"blanket","n.","B2"
"blast","n.","C1"
"blast","v.","C1"
"bleed","v.","C1"
"blend","n.","C1"
"blend","v.","C1"
"bless","v.","C1"
"blessing","n.","C1"
"blind","adj.","B2"
"block","n.","B1"
"block","v.","B1"
"blog","n.","A1"
"blonde","adj.","A1"
"blood","n.","A2"
"blow","n.","B2"
"blow","v.","A2"
"blue","adj.","A1"
"blue","n.","A1"
"board","n.","A2"
"board","v.","B1"
"boast","v.","C1"
"boat","n.","A1"
"body","n.","A1"
"boil","v.","A2"
"bold","adj.","B2"
"bomb","n.","B1"
"bomb","v.","B1"
"bombing","n.","B2"
"bond","n.","B2"
"bone","n.","A2"
"bonus","n.","C1"
"book","n.","A1"
"book","v.","A2"
"booking","n.","B2"
"boom","n.","C1"
"boost","n.","B2"
"boost","v.","B2"
"boot","n.","A1"
"border","n.","B1"
"border","v.","B2"
"bored","adj.","A1"
"boring","adj.","A1"
"born","v.","A1"
"borrow","v.","A2"
"boss","n.","A2"
"both","det./pron.","A1"
"bother","v.","B1"
"bottle","n.","A1"
"bottom","adj.","A2"
"bottom","n.","A2"
"bounce","v.","C1"
"bound","adj.","B2"
"boundary","n.","C1"
"bow'","n.","C1"
"bow'","v.","C1"
"bowl","n.","A2"
"box","n.","A1"
"boy","n.","A1"
"boyfriend","n.","A1"
"brain","n.","A2"
"branch","n.","B1"
"brand","n.","B1"
"brand","v.","B1"
"brave","adj.","B1"
"breach","n.","C1"
"breach","v.","C1"
"bread","n.","A1"
"break","n.","A1"
"break","v.","A1"
"breakdown","n.","C1"
"breakfast","n.","A1"
"breakthrough","n.","C1"
"breast","n.","B2"
"breath","n.","B1"
"breathe","v.","B1"
"breathing","n.","B1"
"breed","n.","C1"
"breed","v.","C1"
"brick","n.","B2"
"bride","n.","B1"
"bridge","n.","A2"
"brief","adj.","B2"
"briefly","adv.","B2"
"bright","adj.","A2"
"brilliant","adj.","A2"
"bring","v.","A1"
"broad","adj.","B2"
"broadband","n.","C1"
"broadcast","n.","B2"
"broadcast","v.","B2"
"broadcaster","n.","B2"
"broadly","adv.","B2"
"broken","adj.","A2"
"brother","n.","A1"
"brown","adj.","A1"
"brown","n.","A1"
"browser","n.","C1"
"brush","n.","A2"
"brush","v.","A2"
"brutal","adj.","C1"
"bubble","n.","B1"
"buck","n.","C1"
"buddy","n.","C1"
"budget","n.","B2"
"buffer","n.","C1"
"bug","n.","B2"
"build","v.","A1"
"building","n.","A1"
"bulk","n.","C1"
"bullet","n.","B2"
"bunch","n.","B2"
"burden","n.","C1"
"bureaucracy","n.","C1"
"burial","n.","C1"
"burn","n.","B2"
"burn","v.","A2"
"burst","v.","C1"
"bury","v.","B1"
"bus","n.","A1"
"bush","n.","B2"
"business","n.","A1"
"businessman","n.","A2"
"busy","adj.","A1"
"but","conj.","A1"
"but","prep.","B2"
"butter","n.","A1"
"button","n.","A2"
"buy","v.","A1"
"by","adv.","B1"
"by","prep.","A1"
"bye","exclam.","A1"
"cabin","n.","B2"
"cabinet","n.","C1"
"cable","n.","B2"
"cafe","n.","A1"
"cake","n.","A1"
"calculate","v.","B2"
"calculation","n.","C1"
"call","n.","A1"
"call","v.","A1"
"calm","adj.","B1"
"calm","n.","B1"
"calm","v.","B1"
"camera","n.","A1"
"camp","n.","A2"
"camp","v.","A2"
"campaign","n.","B1"
"campaign","v.","B1"
"camping","n.","A2"
"campus","n.","B1"
"can'","modal v.","A1"
"can²","n.","A2"
"canal","n.","B2"
"cancel","v.","B2"
"cancer","n.","B2"
"candidate","n.","B1"
"candle","n.","B2"
"canvas","n.","C1"
"cannot","v.","A1"
"canvas","n.","C1"
"cap","n.","B1"
"capability","n.","C1"
"capable","adj.","B2"
"capacity","n.","B2"
"capital","adj.","A1"
"capital","n.","A1"
"capitalism","n.","C1"
"capitalist","adj.","C1"
"captain","n.","B1"
"capture","n.","B2"
"capture","v.","B2"
"car","n.","A1"
"carbon","n.","B2"
"card","n.","A1"
"care","n.","A2"
"care","v.","A2"
"career","n.","A1"
"careful","adj.","A2"
"carefully","adv.","A2"
"careless","adj.","B1"
"cargo","n.","C1"
"carpet","n.","A2"
"carriage","n.","C1"
"carrot","n.","A1"
"carry","v.","A1"
"cartoon","n.","A2"
"carve","v.","C1"
"case","n.","A2"
"cash","n.","A2"
"casino","n.","C1"
"cast","n.","B2"
"cast","v.","B2"
"castle","n.","A2"
"casual","adj.","B2"
"casualty","n.","C1"
"cat","n.","A1"
"catalogue","n.","C1"
"catch","n.","B2"
"catch","v.","A2"
"category","n.","B1"
"cater","v.","C1"
"cattle","n.","C1"
"cause","n.","A2"
"cause","v.","A2"
"cautious","adj.","C1"
"cave","n.","B2"
"CD","n.","A1"
"cease","v.","C1"
"ceiling","n.","B1"
"celebrate","v.","A2"
"celebration","n.","B1"
"celebrity","n.","A2"
"cell","n.","B2"
"cemetery","n.","C1"
"cent","n.","A1"
"central","adj.","B1"
"centre","n.","A1"
"centre","v.","B1"
"century","n.","A1"
"ceremony","n.","B1"
"certain","adj.","A2"
"certainly","adv.","A2"
"certainty","n.","B2"
"certificate","n.","B2"
"chain","n.","B1"
"chain","v.","B2"
"chair","n.","A1"
"chair","v.","B2"
"chairman","n.","B2"
"challenge","n.","B1"
"challenge","v.","B2"
"chamber","n.","C1"
"champion","n.","B1"
"championship","n.","B2"
"chance","n.","A2"
"change","n.","A1"
"change","v.","A1"
"channel","n.","B1"
"chaos","n.","C1"
"chapter","n.","B1"
"character","n.","A2"
"characteristic","adj.","B2"
"characteristic","n.","B2"
"characterize","v.","C1"
"charge","n.","B1"
"charge","v.","B1"
"charity","n.","A2"
"charm","n.","C1"
"charming","adj.","B2"
"chart","n.","A1"
"chart","v.","B2"
"charter","n.","C1"
"chase","n.","B2"
"chase","v.","B2"
"chat","n.","A2"
"chat","v.","A2"
"cheap","adj.","A1"
"cheap","adv.","B1"
"cheat","n.","B1"
"cheat","v.","B1"
"check","n.","A2"
"check","v.","A1"
"cheek","n.","B2"
"cheer","n.","B2"
"cheer","v.","B2"
"cheerful","adj.","B1"
"cheese","n.","A1"
"chef","n.","A2"
"chemical","adj.","B1"
"chemical","n.","B1"
"chemistry","n.","A2"
"chest","n.","B1"
"chicken","n.","A1"
"chief","adj.","B2"
"chief","n.","B2"
"child","n.","A1"
"childhood","n.","B1"
"chip","n.","A2"
"chocolate","n.","A1"
"choice","n.","A2"
"choir","n.","B2"
"choose","v.","A1"
"chop","v.","B2"
"chronic","adj.","C1"
"chunk","n.","C1"
"church","n.","A2"
"cigarette","n.","A2"
"cinema","n.","A1"
"circle","n.","A2"
"circle","v.","A2"
"circuit","n.","B2"
"circulate","v.","C1"
"circulation","n.","C1"
"circumstance","n.","B2"
"cite","v.","B2"
"citizen","n.","B2"
"citizenship","n.","C1"
"city","n.","A1"
"civic","adj.","C1"
"civil","adj.","B2"
"civilian","adj.","C1"
"civilian","n.","C1"
"civilization","n.","B2"
"claim","n.","B1"
"claim","v.","B1"
"clarify","v.","B2"
"clarity","n.","C1"
"clash","n.","C1"
"class","n.","A1"
"classic","adj.","B2"
"classic","n.","B2"
"classical","adj.","A2"
"classification","n.","C1"
"classify","v.","B2"
"classroom","n.","A1"
"clause","n.","B1"
"clean","adj.","A1"
"clean","v.","A1"
"clear","adj.","A2"
"clear","v.","B1"
"clearly","adv.","A2"
"clerk","n.","B2"
"clever","adj.","A2"
"click","n.","B1"
"click","v.","B1"
"client","n.","B1"
"cliff","n.","B2"
"climate","n.","A2"
"climb","n.","B1"
"climb","v.","A1"
"cling","v.","C1"
"clinic","n.","B2"
"clinical","adj.","C1"
"clip","n.","B2"
"clock","n.","A1"
"close¹","n.","B2"
"close¹","v.","A1"
"close²","adj.","A2"
"close²","adv.","B1"
"closed","adj.","A2"
"closely","adv.","B2"
"closure","n.","C1"
"cloth","n.","B1"
"clothes","n.","A1"
"clothing","n.","A2"
"cloud","n.","A2"
"club","n.","A1"
"clue","n.","B1"
"cluster","n.","C1"
"coach","n.","A2"
"coach","v.","B1"
"coal","n.","B1"
"coalition","n.","C1"
"coast","n.","A2"
"coastal","adj.","C1"
"coat","n.","A1"
"cocktail","n.","C1"
"code","n.","A2"
"coffee","n.","A1"
"cognitive","adj.","C1"
"coin","n.","B1"
"coincide","v.","C1"
"coincidence","n.","B2"
"cold","adj.","A1"
"cold","n.","A1"
"collaborate","v.","C1"
"collaboration","n.","C1"
"collapse","n.","B2"
"collapse","v.","B2"
